,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,passAccuracy,scoreGoalScoring,scoreAssisting,scorePassing,scoreDefending,scoreDuels,scoreGoalkeeping,scoreRaw,scoreFinal,playerProfile
124,124,Midfielder,2. Bundesliga,D. Kinsombi,SC Paderborn 07,32,1062,1,25.0,7,2,17,7,3,9,8,51,249,190,10,11,2,9,0.0,0.17,0.08,3,0.25,2.12,0.59,4.32,21.1,16.1,0.85,0.93,0.17,0.76,1.44,0.59,0.25,0.76,0.68,0.0,76.31,77.2,57.38,30.22,32.0,41.04,,46.04,27.67,Attacking Midfielder
125,125,Midfielder,2. Bundesliga,P. Förster,Karlsruher SC,22,1456,1,25.0,8,4,28,3,14,3,9,59,639,546,19,30,2,26,0.0,0.25,0.06,5,0.31,1.55,0.49,3.65,39.5,33.75,1.17,1.85,0.12,1.61,1.73,0.19,0.87,0.19,0.56,0.0,85.45,80.54,65.19,56.43,46.5,21.64,,55.03,61.1,Attacking Midfielder
126,126,Midfielder,2. Bundesliga,M. Wanitzek,Karlsruher SC,34,3060,11,93.0,34,13,61,44,14,57,25,186,1435,1117,168,228,17,79,0.0,0.38,0.32,24,0.71,2.74,1.0,5.47,42.21,32.85,4.94,6.71,0.5,2.32,1.79,1.29,0.41,1.68,0.74,0.0,77.84,94.13,94.05,64.76,49.27,71.53,,74.4,99.71,Attacking Midfielder
127,127,Midfielder,2. Bundesliga,J. Bachmann,FC Schalke 04,25,1646,1,18.0,6,3,29,39,8,67,4,108,574,435,30,5,2,8,0.0,0.16,0.05,4,0.22,0.98,0.33,5.91,31.39,23.78,1.64,0.27,0.11,0.44,1.59,2.13,0.44,3.66,0.22,0.0,75.78,67.82,43.96,26.38,53.2,83.26,,50.89,41.79,Defensive Midfielder
128,128,Midfielder,2. Bundesliga,N. Rapp,Karlsruher SC,29,2157,1,16.0,5,1,49,59,34,45,3,120,1017,840,156,3,2,8,0.0,0.04,0.04,2,0.08,0.67,0.21,5.01,42.43,35.05,6.51,0.13,0.08,0.33,2.04,2.46,1.42,1.88,0.13,0.0,82.6,50.12,39.91,56.5,79.01,68.5,,57.7,70.89,Defensive Midfielder
130,130,Midfielder,2. Bundesliga,R. Obermair,SC Paderborn 07,33,2860,6,47.0,17,5,46,52,34,23,15,104,1243,1010,133,228,12,69,0.0,0.16,0.19,11,0.35,1.48,0.53,3.27,39.12,31.78,4.19,7.17,0.38,2.17,1.45,1.64,1.07,0.72,0.47,0.0,81.26,74.83,88.15,70.4,59.34,28.19,,66.96,93.95,Attacking Midfielder
131,131,Midfielder,2. Bundesliga,J. Justvan,1. FC Nürnberg,31,2640,11,56.0,22,7,32,13,7,10,17,117,962,744,55,128,9,67,0.0,0.24,0.38,18,0.61,1.91,0.75,3.99,32.8,25.36,1.88,4.36,0.31,2.28,1.09,0.44,0.24,0.34,0.58,0.0,77.34,85.4,91.84,46.72,24.24,27.59,,56.44,65.13,Attacking Midfielder
132,132,Midfielder,2. Bundesliga,C. Antwi-Adjei,FC Schalke 04,23,958,2,17.0,4,1,8,8,4,9,8,39,257,199,12,39,3,15,0.0,0.09,0.19,3,0.28,1.6,0.38,3.66,24.14,18.7,1.13,3.66,0.28,1.41,0.75,0.75,0.38,0.85,0.75,0.0,77.43,64.31,79.58,43.41,26.02,35.94,,50.99,42.07,Attacking Midfielder
133,133,Midfielder,2. Bundesliga,D. Burnić,Karlsruher SC,31,2277,2,34.0,9,2,43,15,15,8,14,76,812,651,90,18,2,22,0.0,0.08,0.08,4,0.16,1.34,0.36,3.0,32.09,25.73,3.56,0.71,0.08,0.87,1.7,0.59,0.59,0.32,0.55,0.0,80.17,62.87,54.39,46.63,42.91,17.27,,45.86,27.09,Defensive Midfielder
134,134,Midfielder,2. Bundesliga,S. Klaas,SC Paderborn 07,20,823,0,20.0,6,2,14,5,9,5,8,47,365,285,18,7,2,9,0.0,0.22,0.0,2,0.22,2.19,0.66,5.14,39.91,31.17,1.97,0.77,0.22,0.98,1.53,0.55,0.98,0.55,0.87,0.0,78.08,83.57,47.05,35.48,48.11,45.48,,49.61,37.46,Defensive Midfielder
135,135,Midfielder,2. Bundesliga,L. Herrmann,SG Dynamo Dresden,33,457,0,9.0,3,0,8,9,2,4,2,21,151,114,15,10,2,4,0.0,0.0,0.0,0,0.0,1.77,0.59,4.14,29.74,22.45,2.95,1.97,0.39,0.79,1.58,1.77,0.39,0.79,0.39,0.0,75.5,49.15,47.96,42.09,49.34,40.46,,45.82,26.8,Defensive Midfielder
136,136,Midfielder,2. Bundesliga,K. Klefisch,Darmstadt 98,24,1797,1,27.0,4,2,38,30,24,26,6,99,1256,1125,108,14,1,24,0.0,0.1,0.05,3,0.15,1.35,0.2,4.96,62.9,56.34,5.41,0.7,0.05,1.2,1.9,1.5,1.2,1.3,0.3,0.0,89.57,56.15,55.81,73.6,68.03,59.52,,63.31,87.61,Defensive Midfielder
137,137,Midfielder,2. Bundesliga,N. Katterbach,Hamburger SV,16,549,1,7.0,2,1,9,10,9,3,3,30,177,134,27,13,0,2,0.0,0.16,0.16,2,0.33,1.15,0.33,4.92,29.02,21.97,4.43,2.13,0.0,0.33,1.48,1.64,1.48,0.49,0.49,0.0,75.71,67.82,44.34,49.86,64.09,40.66,,52.64,51.01,Defensive Midfielder
138,138,Midfielder,2. Bundesliga,M. Papela,Darmstadt 98,33,1267,0,13.0,2,1,34,15,32,18,5,78,566,492,30,8,0,8,0.0,0.07,0.0,1,0.07,0.92,0.14,5.54,40.21,34.95,2.13,0.57,0.0,0.57,2.42,1.07,2.27,1.28,0.36,0.0,86.93,49.9,25.84,57.06,74.77,66.22,,53.1,55.04,Defensive Midfielder
139,139,Midfielder,2. Bundesliga,A. Suhonen,Hamburger SV,17,611,1,10.0,4,0,34,3,4,3,2,61,232,179,22,10,1,6,0.0,0.0,0.15,1,0.15,1.47,0.59,8.99,34.17,26.37,3.24,1.47,0.15,0.88,5.01,0.44,0.59,0.44,0.29,0.0,77.16,49.15,64.21,43.18,58.59,65.06,,55.7,63.11,Defensive Midfielder
140,140,Midfielder,2. Bundesliga,S. Karl Appelkamp,Fortuna Düsseldorf,30,1558,7,15.0,7,1,22,8,5,4,3,52,707,610,34,80,7,30,0.0,0.06,0.4,8,0.46,0.87,0.4,3.0,40.84,35.24,1.96,4.62,0.4,1.73,1.27,0.46,0.29,0.23,0.17,0.0,86.28,60.86,91.5,70.05,28.54,15.91,,57.61,69.45,Attacking Midfielder
141,141,Midfielder,2. Bundesliga,B. Hein,SSV Jahn Regensburg,33,2066,3,16.0,1,0,40,64,19,22,3,117,451,276,84,55,3,19,0.0,0.0,0.13,3,0.13,0.7,0.04,5.1,19.65,12.02,3.66,2.4,0.13,0.83,1.74,2.79,0.83,0.96,0.13,0.0,61.2,27.17,61.1,38.41,67.88,55.36,,50.83,41.5,Defensive Midfielder
143,143,Midfielder,2. Bundesliga,E. Leopold,Hannover 96,33,2875,5,32.0,8,2,70,48,31,21,12,145,1571,1377,107,188,9,73,0.0,0.06,0.16,7,0.22,1.0,0.25,4.54,49.18,43.11,3.35,5.89,0.28,2.29,2.19,1.5,0.97,0.66,0.38,0.0,87.65,53.6,84.57,81.77,67.94,38.58,,69.0,96.25,Attacking Midfielder
144,144,Midfielder,2. Bundesliga,T. Breithaupt,Fortuna Düsseldorf,13,800,0,2.0,0,0,22,21,10,23,1,67,433,358,31,2,0,7,0.0,0.0,0.0,0,0.0,0.22,0.0,7.54,48.71,40.28,3.49,0.22,0.0,0.79,2.48,2.36,1.12,2.59,0.11,0.0,82.68,20.62,30.63,49.22,80.62,90.13,,52.7,51.59,Defensive Midfielder
145,145,Midfielder,2. Bundesliga,B. Allgeier,Hannover 96,32,1758,2,1.0,0,0,27,60,11,19,0,56,612,441,93,43,2,20,0.0,0.0,0.1,2,0.1,0.05,0.0,2.87,31.33,22.58,4.76,2.2,0.1,1.02,1.38,3.07,0.56,0.97,0.0,0.0,72.06,20.62,59.69,46.25,54.58,30.97,,45.14,25.07,Defensive Midfielder
146,146,Midfielder,2. Bundesliga,A. Müller,Karlsruher SC,33,2536,0,17.0,8,2,66,46,20,14,5,106,1443,1214,177,10,3,20,0.0,0.07,0.0,2,0.07,0.6,0.28,3.76,51.21,43.08,6.28,0.35,0.11,0.71,2.34,1.63,0.71,0.5,0.18,0.0,84.13,57.1,36.72,62.98,65.68,27.64,,50.77,40.92,Defensive Midfielder
147,147,Midfielder,2. Bundesliga,M. Hansen,SC Paderborn 07,18,576,1,4.0,2,0,16,13,11,9,0,30,328,293,19,2,2,7,0.0,0.0,0.16,1,0.16,0.62,0.31,4.69,51.25,45.78,2.97,0.31,0.31,1.09,2.5,2.03,1.72,1.41,0.0,0.0,89.33,39.49,73.34,61.3,83.11,57.59,,64.84,90.49,Defensive Midfielder
150,150,Midfielder,2. Bundesliga,K. Corredor,Darmstadt 98,32,2581,6,84.0,33,8,35,10,11,25,17,159,762,604,45,36,8,38,0.0,0.28,0.21,14,0.49,2.93,1.15,5.54,26.57,21.06,1.57,1.26,0.28,1.33,1.22,0.35,0.38,0.87,0.59,0.0,79.27,93.05,79.12,38.65,27.45,58.51,,57.66,70.32,Attacking Midfielder
151,151,Midfielder,2. Bundesliga,K. Oudenne,Hannover 96,22,460,0,5.0,0,0,13,3,4,0,1,32,132,97,12,7,1,6,0.0,0.0,0.0,0,0.0,0.98,0.0,6.26,25.83,18.98,2.35,1.37,0.2,1.17,2.54,0.59,0.78,0.0,0.2,0.0,73.48,20.62,50.63,34.1,58.49,45.47,,42.79,19.88,Defensive Midfielder
152,152,Midfielder,2. Bundesliga,T. Rossmann,Fortuna Düsseldorf,18,1027,1,22.0,6,2,24,7,7,12,10,83,380,328,13,47,3,12,0.0,0.18,0.09,3,0.26,1.93,0.53,7.27,33.3,28.74,1.14,4.12,0.26,1.05,2.1,0.61,0.61,1.05,0.88,0.0,86.32,76.73,66.13,65.84,49.45,73.65,,65.44,90.78,Attacking Midfielder
155,155,Midfielder,2. Bundesliga,B. Yılmaz,1. FC Nürnberg,28,1382,0,11.0,4,0,22,35,13,5,2,85,726,599,48,30,2,21,0.0,0.0,0.0,0,0.0,0.72,0.26,5.54,47.28,39.01,3.13,1.95,0.13,1.37,1.43,2.28,0.85,0.33,0.13,0.0,82.51,36.89,49.81,57.42,59.94,46.19,,51.26,43.23,Defensive Midfielder
156,156,Midfielder,2. Bundesliga,S. Castaneda,SC Paderborn 07,31,2227,1,17.0,3,0,44,61,38,44,7,130,1093,943,79,4,2,19,0.0,0.0,0.04,1,0.04,0.69,0.12,5.25,44.17,38.11,3.19,0.16,0.08,0.77,1.78,2.47,1.54,1.78,0.28,0.0,86.28,29.89,47.98,55.43,76.64,70.22,,56.2,64.84,Defensive Midfielder
158,158,Midfielder,2. Bundesliga,R. Lubach,1. FC Nürnberg,30,1323,1,15.0,5,1,28,15,8,9,3,67,519,448,22,12,2,10,0.0,0.07,0.07,2,0.14,1.02,0.34,4.56,35.31,30.48,1.5,0.82,0.14,0.68,1.9,1.02,0.54,0.61,0.2,0.0,86.32,60.6,51.74,54.06,50.13,38.44,,51.33,44.09,Defensive Midfielder
159,159,Midfielder,2. Bundesliga,P. Muller,SSV Jahn Regensburg,25,473,1,10.0,3,1,5,7,11,5,3,14,198,156,18,0,1,5,0.0,0.19,0.19,2,0.38,1.9,0.57,2.66,37.67,29.68,3.42,0.0,0.19,0.95,0.95,1.33,2.09,0.95,0.57,0.0,78.79,78.8,69.42,34.83,54.48,29.5,,53.21,55.33,Defensive Midfielder
163,163,Midfielder,2. Bundesliga,TJT. Janisch,1. FC Nürnberg,20,1112,0,3.0,0,0,35,23,10,2,0,74,536,434,50,5,2,4,0.0,0.0,0.0,0,0.0,0.24,0.0,5.99,43.38,35.13,4.05,0.4,0.16,0.32,2.83,1.86,0.81,0.16,0.0,0.0,80.97,20.62,33.15,48.75,73.82,48.18,,45.56,25.65,Defensive Midfielder
164,164,Midfielder,2. Bundesliga,M. Grüger,FC Schalke 04,31,1409,0,16.0,4,1,22,10,15,5,6,34,769,669,78,18,1,13,0.0,0.06,0.0,1,0.06,1.02,0.26,2.17,49.12,42.73,4.98,1.15,0.06,0.83,1.41,0.64,0.96,0.32,0.38,0.0,87.0,54.25,37.8,72.9,46.28,14.89,,47.3,30.84,Defensive Midfielder
167,167,Midfielder,2. Bundesliga,L. Ben Farhat,Karlsruher SC,14,452,0,14.0,8,3,5,1,3,7,3,26,66,45,3,1,3,6,0.0,0.6,0.0,3,0.6,2.79,1.59,5.18,13.14,8.96,0.6,0.2,0.6,1.19,1.0,0.2,0.6,1.39,0.6,0.0,68.18,98.66,57.22,15.62,26.7,64.82,,48.07,32.28,Attacking Midfielder
170,1478,Defender,LaLiga 2,J. Ángel,Sporting Gijón,38,1380,2,13.0,3,1,26,44,10,25,2,66,685,552,113,155,4,27,0.0,0.07,0.13,3,0.2,0.85,0.2,4.3,44.67,36.0,7.37,10.11,0.26,1.76,1.7,2.87,0.65,1.63,0.13,0.0,80.58,75.95,90.31,68.94,42.56,49.85,,56.1,58.84,Fullback
171,1479,Defender,LaLiga 2,J. Pulido,Huesca,37,3184,1,20.0,7,2,29,231,40,79,2,132,1579,1395,167,2,3,12,0.0,0.06,0.03,3,0.08,0.57,0.2,3.73,44.63,39.43,4.72,0.06,0.08,0.34,0.82,6.53,1.13,2.23,0.06,0.0,88.35,73.7,64.12,62.0,58.23,51.43,,58.65,65.55,Centerback
172,1480,Defender,LaLiga 2,M. Mateu,CD Tenerife,37,3218,5,24.0,7,2,36,83,23,12,5,91,1313,974,340,272,9,57,0.0,0.06,0.14,7,0.2,0.67,0.2,2.55,36.72,27.24,9.51,7.61,0.25,1.59,1.01,2.32,0.64,0.34,0.14,0.0,74.18,73.7,90.56,61.97,28.51,14.79,,40.24,19.21,Fullback
173,1481,Defender,LaLiga 2,N. Maraš,Mirandés,35,2026,1,11.0,2,0,30,124,17,66,1,108,982,828,120,2,2,9,0.0,0.0,0.04,1,0.04,0.49,0.09,4.8,43.62,36.78,5.33,0.09,0.09,0.4,1.33,5.51,0.76,2.93,0.04,0.0,84.32,36.68,67.82,55.98,54.56,70.46,,59.25,69.21,Centerback
174,1482,Defender,LaLiga 2,A. Arbilla,Eibar,30,2326,0,17.0,5,0,23,139,36,42,3,80,1703,1424,356,1,0,6,0.0,0.0,0.0,0,0.0,0.66,0.19,3.1,65.89,55.1,13.77,0.04,0.0,0.23,0.89,5.38,1.39,1.63,0.12,0.0,83.62,42.76,34.28,65.4,61.63,39.91,,53.27,50.3,Centerback
175,1483,Defender,LaLiga 2,I. Miquel,Leganés,35,1252,1,4.0,1,0,12,97,19,26,0,43,658,561,110,1,1,3,0.0,0.0,0.07,1,0.07,0.29,0.07,3.09,47.3,40.33,7.91,0.07,0.07,0.22,0.86,6.97,1.37,1.87,0.0,0.0,85.26,34.98,66.49,66.65,65.48,43.45,,58.78,66.46,Centerback
177,1485,Defender,LaLiga 2,S. Postigo,Mirandés,32,690,1,5.0,0,0,6,49,9,12,1,22,350,311,52,0,1,3,0.0,0.0,0.13,1,0.13,0.65,0.0,2.87,45.65,40.57,6.78,0.0,0.13,0.39,0.78,6.39,1.17,1.57,0.13,0.0,88.86,27.62,78.34,65.51,58.7,37.99,,55.3,56.71,Centerback
178,1486,Defender,LaLiga 2,P. Insua,Real Zaragoza,30,1108,0,4.0,2,1,28,65,13,35,1,68,672,582,72,0,0,2,0.0,0.08,0.0,1,0.08,0.32,0.16,5.52,54.58,47.27,5.85,0.0,0.0,0.16,2.27,5.28,1.06,2.84,0.08,0.0,86.61,75.08,31.99,58.23,72.99,75.98,,66.79,89.63,Centerback
179,1487,Defender,LaLiga 2,J. Antonio Ríos,FC Cartagena,23,1078,1,5.0,0,0,10,39,10,8,2,24,398,288,90,64,2,14,0.0,0.0,0.08,1,0.08,0.42,0.0,2.0,33.23,24.04,7.51,5.34,0.17,1.17,0.83,3.26,0.83,0.67,0.17,0.0,72.36,27.62,82.58,53.96,36.22,17.53,,39.3,17.99,Fullback
180,1488,Defender,LaLiga 2,N. Martínez,FC Cartagena,16,1129,3,8.0,2,2,27,38,15,10,2,62,409,299,82,37,3,15,0.0,0.16,0.24,5,0.4,0.64,0.16,4.94,32.6,23.84,6.54,2.95,0.24,1.2,2.15,3.03,1.2,0.8,0.16,0.0,73.11,86.6,92.23,48.63,63.0,38.6,,58.13,64.63,Fullback
181,1489,Defender,LaLiga 2,E. Galilea,Málaga,37,1997,1,12.0,3,0,37,109,25,45,1,97,1136,969,136,0,1,4,0.0,0.0,0.05,1,0.05,0.54,0.14,4.37,51.2,43.67,6.13,0.0,0.05,0.18,1.67,4.91,1.13,2.03,0.05,0.0,85.3,39.97,61.78,56.02,65.5,55.49,,59.45,70.73,Centerback
182,1490,Defender,LaLiga 2,D. Costas,Real Oviedo,39,2872,1,7.0,3,1,34,126,27,87,1,146,1722,1529,235,0,2,4,0.0,0.03,0.03,2,0.06,0.22,0.09,4.58,53.96,47.91,7.36,0.0,0.06,0.13,1.07,3.95,0.85,2.73,0.03,0.0,88.79,59.73,57.23,67.15,44.88,65.82,,56.55,59.15,Centerback
183,1491,Defender,LaLiga 2,J. León,CD Tenerife,33,2500,0,16.0,5,3,24,129,24,67,3,117,1362,1083,294,3,0,3,0.0,0.11,0.0,3,0.11,0.58,0.18,4.21,49.03,38.99,10.58,0.11,0.0,0.11,0.86,4.64,0.86,2.41,0.11,0.0,79.52,81.91,30.73,56.48,45.47,58.63,,51.31,43.29,Centerback
184,1492,Defender,LaLiga 2,D. Calvo,Real Oviedo,44,3957,3,20.0,7,2,49,237,28,124,3,191,2403,2162,240,8,3,9,0.0,0.05,0.07,5,0.11,0.45,0.16,4.34,54.66,49.17,5.46,0.18,0.07,0.2,1.11,5.39,0.64,2.82,0.07,0.0,89.97,69.21,65.76,69.21,47.02,63.81,,58.64,65.24,Centerback
185,1493,Defender,LaLiga 2,L. Ahijado,Real Oviedo,39,816,2,5.0,2,1,27,16,6,4,2,41,259,212,30,17,1,7,0.0,0.11,0.22,3,0.33,0.55,0.22,4.52,28.57,23.38,3.31,1.88,0.11,0.77,2.98,1.76,0.66,0.44,0.22,0.0,81.85,84.97,86.12,51.75,45.79,30.18,,49.07,35.06,Fullback
186,1494,Defender,LaLiga 2,V. Garcia Marin,Málaga,39,1660,1,4.0,1,0,52,35,17,6,0,68,842,691,88,98,4,20,0.0,0.0,0.05,1,0.05,0.22,0.05,3.69,45.65,37.46,4.77,5.31,0.22,1.08,2.82,1.9,0.92,0.33,0.0,0.0,82.07,33.93,79.7,61.89,52.72,21.22,,48.44,33.54,Fullback
187,1495,Defender,LaLiga 2,F. Miguel,Burgos Club de Fútbol,41,3184,1,29.0,5,0,56,134,37,51,6,166,1084,764,194,93,6,20,0.0,0.0,0.03,1,0.03,0.82,0.14,4.69,30.64,21.6,5.48,2.63,0.17,0.57,1.58,3.79,1.05,1.44,0.17,0.0,70.48,39.97,70.72,42.07,57.42,50.55,,53.09,49.09,Fullback
188,1496,Defender,LaLiga 2,K. Vázquez,Sporting Gijón,37,797,1,4.0,1,0,15,30,5,12,1,38,331,246,57,24,0,4,0.0,0.0,0.11,1,0.11,0.45,0.11,4.29,37.38,27.78,6.44,2.71,0.0,0.45,1.69,3.39,0.56,1.36,0.11,0.0,74.32,37.87,67.77,49.81,43.67,44.45,,47.21,30.18,Fullback
189,1497,Defender,LaLiga 2,A. Buñuel,Burgos Club de Fútbol,29,2177,0,9.0,5,1,58,79,18,28,1,116,733,547,110,55,1,11,0.0,0.04,0.0,1,0.04,0.37,0.21,4.8,30.3,22.61,4.55,2.27,0.04,0.45,2.4,3.27,0.74,1.16,0.04,0.0,74.62,70.4,45.04,42.84,53.2,44.85,,49.08,35.37,Fullback
190,1498,Defender,LaLiga 2,C. Pomares,Real Zaragoza,38,1676,2,13.0,2,0,50,57,22,30,4,105,749,565,130,70,2,17,0.0,0.0,0.11,2,0.11,0.7,0.11,5.64,40.22,30.34,6.98,3.76,0.11,0.91,2.68,3.06,1.18,1.61,0.21,0.0,75.43,37.87,82.57,55.41,65.59,62.13,,63.0,79.57,Fullback
191,1499,Defender,LaLiga 2,A. Radovanović,Real Zaragoza,43,1155,0,8.0,2,0,15,81,13,39,2,61,594,511,88,0,0,1,0.0,0.0,0.0,0,0.0,0.62,0.16,4.75,46.29,39.82,6.86,0.0,0.0,0.08,1.17,6.31,1.01,3.04,0.16,0.0,86.03,41.25,30.43,59.91,60.57,71.1,,59.09,67.38,Centerback
192,1500,Defender,LaLiga 2,A. Landázuri,CD Tenerife,13,846,1,3.0,1,1,8,51,10,16,1,33,461,394,87,2,2,5,0.0,0.11,0.11,2,0.21,0.32,0.11,3.51,49.04,41.91,9.26,0.21,0.21,0.53,0.85,5.43,1.06,1.7,0.11,0.0,85.47,77.56,80.85,71.91,54.54,44.27,,59.23,68.29,Centerback
193,1501,Defender,LaLiga 2,N. Monte,Almería,36,2955,0,8.0,3,3,33,174,38,60,0,108,1551,1329,262,5,0,9,0.0,0.09,0.0,3,0.09,0.24,0.09,3.29,47.24,40.48,7.98,0.15,0.0,0.27,1.01,5.3,1.16,1.83,0.0,0.0,85.69,72.42,35.27,69.4,58.82,44.63,,55.71,57.62,Centerback
194,1502,Defender,LaLiga 2,C. Michelin,Real Valladolid,34,2333,1,31.0,9,2,63,62,27,40,5,159,779,631,80,69,1,21,0.0,0.08,0.04,3,0.12,1.2,0.35,6.13,30.05,24.34,3.09,2.66,0.04,0.81,2.43,2.39,1.04,1.54,0.19,0.0,81.0,82.8,70.23,51.37,57.38,63.99,,60.39,71.95,Fullback
195,1503,Defender,LaLiga 2,J. Amador,Eibar,35,1651,2,13.0,6,2,16,139,27,62,1,87,721,572,121,0,2,3,0.0,0.11,0.11,4,0.22,0.71,0.33,4.74,39.3,31.18,6.6,0.0,0.11,0.16,0.87,7.58,1.47,3.38,0.05,0.0,79.33,88.26,70.79,42.38,69.0,73.78,,66.01,87.2,Centerback
196,1504,Defender,LaLiga 2,N. Vidal,Real Oviedo,21,1862,0,23.0,9,6,29,80,19,47,8,114,751,590,87,36,1,15,0.0,0.29,0.0,6,0.29,1.11,0.44,5.51,36.3,28.52,4.21,1.74,0.05,0.73,1.4,3.87,0.92,2.27,0.39,0.0,78.56,96.81,48.7,45.77,51.48,69.02,,56.71,60.67,Centerback
197,1505,Defender,LaLiga 2,N. Šipčić,CD Tenerife,33,1620,0,11.0,3,0,20,93,18,43,2,66,640,517,112,2,0,3,0.0,0.0,0.0,0,0.0,0.61,0.17,3.67,35.56,28.72,6.22,0.11,0.0,0.17,1.11,5.17,1.0,2.39,0.11,0.0,80.78,41.71,32.14,50.3,55.18,52.93,,50.67,40.85,Centerback
198,1506,Defender,LaLiga 2,I. Sebastián Magana,Huesca,32,2766,0,15.0,3,1,32,129,37,48,2,106,1085,881,202,6,1,6,0.0,0.03,0.0,1,0.03,0.49,0.1,3.45,35.3,28.67,6.57,0.2,0.03,0.2,1.04,4.2,1.2,1.56,0.07,0.0,81.2,60.27,38.72,53.62,54.34,41.62,,49.75,37.5,Centerback
199,1507,Defender,LaLiga 2,PVP. Vázquez,Sporting Gijón,42,3705,0,19.0,3,2,58,270,37,130,6,209,2580,2220,307,8,0,5,0.0,0.05,0.0,2,0.05,0.46,0.07,5.08,62.67,53.93,7.46,0.19,0.0,0.12,1.41,6.56,0.9,3.16,0.15,0.0,86.05,62.94,30.92,68.71,62.36,76.34,,64.01,81.71,Centerback
200,1508,Defender,LaLiga 2,O. Luengo,Burgos Club de Fútbol,43,2150,1,13.0,4,2,64,79,23,63,2,154,916,735,144,18,1,7,0.0,0.08,0.04,3,0.13,0.54,0.17,6.45,38.34,30.77,6.03,0.75,0.04,0.29,2.68,3.31,0.96,2.64,0.08,0.0,80.24,75.53,62.87,53.28,60.9,78.6,,64.73,83.23,Centerback
201,1509,Defender,LaLiga 2,A. Rodríguez,Real Zaragoza,40,1614,0,8.0,3,0,36,96,31,49,2,122,647,482,159,1,1,9,0.0,0.0,0.0,0,0.0,0.45,0.17,6.8,36.08,26.88,8.87,0.06,0.06,0.5,2.01,5.35,1.73,2.73,0.11,0.0,74.5,41.71,46.65,45.58,80.9,81.55,,68.61,92.68,Centerback
202,1510,Defender,LaLiga 2,Á. Rodríguez,Eibar,32,1327,0,12.0,1,0,21,29,5,19,2,58,498,360,82,51,1,8,0.0,0.0,0.0,0,0.0,0.81,0.07,3.93,33.78,24.42,5.56,3.46,0.07,0.54,1.42,1.97,0.34,1.29,0.14,0.0,72.29,34.98,48.0,45.66,30.05,40.21,,37.75,16.46,Fullback
203,1511,Defender,LaLiga 2,E. Curbelo,Sporting Gijón,17,586,0,3.0,1,0,21,19,14,9,0,41,315,246,61,2,0,0,0.0,0.0,0.0,0,0.0,0.46,0.15,6.3,48.38,37.78,9.37,0.31,0.0,0.0,3.23,2.92,2.15,1.38,0.0,0.0,78.1,40.75,26.73,54.8,75.03,61.68,,61.1,74.09,Centerback
204,1512,Defender,LaLiga 2,M. Aguirregabiria,Real Zaragoza,33,2287,1,10.0,2,1,57,90,37,17,3,105,927,700,119,64,2,16,0.0,0.04,0.04,2,0.08,0.39,0.08,4.13,36.48,27.55,4.68,2.52,0.08,0.63,2.24,3.54,1.46,0.67,0.12,0.0,75.51,61.62,70.6,45.05,70.88,28.69,,54.67,54.57,Fullback
206,1514,Defender,LaLiga 2,G. Sierra,Burgos Club de Fútbol,18,1618,0,5.0,2,0,30,123,17,44,1,89,793,662,144,2,0,1,0.0,0.0,0.0,0,0.0,0.28,0.11,4.95,44.11,36.82,8.01,0.11,0.0,0.06,1.67,6.84,0.95,2.45,0.06,0.0,83.48,37.87,30.01,62.77,67.74,66.71,,61.22,74.39,Centerback
207,1515,Defender,LaLiga 2,J. Gutiérrez,Mirandés,42,3170,5,18.0,2,0,54,186,40,89,6,161,1246,924,227,50,9,22,0.0,0.0,0.14,5,0.14,0.51,0.06,4.57,35.38,26.23,6.44,1.42,0.26,0.62,1.53,5.28,1.14,2.53,0.17,0.0,74.16,34.34,84.75,46.3,66.19,62.8,,61.63,75.3,Centerback
208,1516,Defender,LaLiga 2,F. Medrano,Mirandés,35,863,1,4.0,2,0,13,34,18,16,2,39,307,208,35,21,0,7,0.0,0.0,0.1,1,0.1,0.42,0.21,4.07,32.02,21.69,3.65,2.19,0.0,0.73,1.36,3.55,1.88,1.67,0.21,0.0,67.75,44.68,69.77,32.01,64.47,49.09,,53.67,51.52,Fullback
209,1517,Defender,LaLiga 2,Chumi,Almería,32,2557,0,5.0,2,0,40,108,22,41,1,95,1691,1511,154,1,1,9,0.0,0.0,0.0,0,0.0,0.18,0.07,3.34,59.52,53.18,5.42,0.04,0.04,0.32,1.41,3.8,0.77,1.44,0.04,0.0,89.36,34.98,42.6,65.85,47.96,38.23,,47.92,31.71,Centerback
210,1518,Defender,LaLiga 2,S. González,Burgos Club de Fútbol,37,3030,1,21.0,5,1,76,123,47,46,5,170,1647,1360,269,7,2,13,0.0,0.03,0.03,2,0.06,0.62,0.15,5.05,48.92,40.4,7.99,0.21,0.06,0.39,2.26,3.65,1.4,1.37,0.15,0.0,82.57,63.8,63.33,61.93,71.41,53.75,,63.91,81.4,Centerback
